2024-10-10 18:01:30,318 - INFO - Unable to initialize backend 'cuda': 
2024-10-10 18:01:30,318 - INFO - Unable to initialize backend 'rocm': module 'jaxlib.xla_extension' has no attribute 'GpuAllocatorConfig'
2024-10-10 18:01:30,318 - INFO - Unable to initialize backend 'tpu': UNIMPLEMENTED: LoadPjrtPlugin is not implemented on windows yet.
2024-10-10 18:01:30,935 - INFO - Number of Nodes: 1
2024-10-10 18:01:30,935 - INFO - Number of Edges: 0
2024-10-10 18:01:30,935 - INFO - Number of Users: 130
2024-10-10 18:01:30,935 - INFO - Running a Single Submodular Game
2024-10-10 18:01:31,339 - INFO - Term 1: 49999998976.000000, Term 2: 0.000065
2024-10-10 18:01:31,433 - INFO - Term 1: 46711033856.000000, Term 2: 0.000061
2024-10-10 18:01:31,451 - INFO - Term 1: 45348696064.000000, Term 2: 0.000059
2024-10-10 18:01:31,485 - INFO - Term 1: 44303339520.000000, Term 2: 0.000058
2024-10-10 18:01:31,512 - INFO - Term 1: 43422068736.000000, Term 2: 0.000058
2024-10-10 18:01:31,540 - INFO - Term 1: 42645643264.000000, Term 2: 0.000057
2024-10-10 18:01:31,566 - INFO - Term 1: 41943707648.000000, Term 2: 0.000057
2024-10-10 18:01:31,593 - INFO - Term 1: 41298206720.000000, Term 2: 0.000058
2024-10-10 18:01:31,620 - INFO - Term 1: 40697397248.000000, Term 2: 0.000058
2024-10-10 18:01:31,650 - INFO - Term 1: 40133099520.000000, Term 2: 0.000058
2024-10-10 18:01:31,678 - INFO - Term 1: 39599370240.000000, Term 2: 0.000059
2024-10-10 18:01:31,707 - INFO - Term 1: 39091728384.000000, Term 2: 0.000060
2024-10-10 18:01:31,733 - INFO - Term 1: 38606684160.000000, Term 2: 0.000061
2024-10-10 18:01:31,748 - INFO - Term 1: 38141460480.000000, Term 2: 0.000063
2024-10-10 18:01:31,780 - INFO - Term 1: 37693812736.000000, Term 2: 0.000064
2024-10-10 18:01:31,811 - INFO - Term 1: 37261885440.000000, Term 2: 0.000066
2024-10-10 18:01:31,827 - INFO - Term 1: 36844130304.000000, Term 2: 0.000068
2024-10-10 18:01:31,858 - INFO - Term 1: 36439240704.000000, Term 2: 0.000070
2024-10-10 18:01:31,894 - INFO - Term 1: 36046090240.000000, Term 2: 0.000072
2024-10-10 18:01:31,921 - INFO - Term 1: 35663720448.000000, Term 2: 0.000075
2024-10-10 18:01:31,958 - INFO - Term 1: 35291291648.000000, Term 2: 0.000078
2024-10-10 18:01:31,989 - INFO - Term 1: 34928058368.000000, Term 2: 0.000081
2024-10-10 18:01:32,018 - INFO - Term 1: 34573377536.000000, Term 2: 0.000085
2024-10-10 18:01:32,047 - INFO - Term 1: 34226665472.000000, Term 2: 0.000089
